Date,Asset,Daily Return,Exposure BoP,Exposure EoP,Trade Exposure,Trade Cost,PnL - Daily,PnL,Days in Exposure,Strategy Vol.,stop_trading_sign,Strategy,Strategy Weight,Book Vol,all_strategies_ready,Cumulative_ReturnLibor
2016-11-01,Swap - KOLD US Equity,1.079384158887287,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.00897745458286
2016-11-01,Swap - ZSL US Equity,0.9477708857789189,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.00897745458286
2016-11-01,Swap - GLL US Equity,0.9859676865635438,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.00897745458286
2016-11-01,Swap - GLD US Equity,1.0064544109892242,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.00897745458286
2016-11-01,Swap - GDX US Equity,1.0248510517407894,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.00897745458286
2016-11-01,Swap - PDBC US Equity,1.0039965517919998,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.00897745458286
2016-11-02,Swap - UCO US Equity,0.944307340414756,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090015558382177
2016-11-02,Swap - SCO US Equity,1.0546234954182856,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090015558382177
2016-11-02,Swap - KOLD US Equity,1.0569899909743474,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090015558382177
2016-11-02,Swap - ZSL US Equity,0.983255201691866,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090015558382177
2016-11-02,Swap - GLL US Equity,0.9846759327824508,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090015558382177
2016-11-02,Swap - GLD US Equity,1.0073905866946722,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090015558382177
2016-11-02,Swap - GDX US Equity,0.9852524568348355,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090015558382177
2016-11-02,Swap - PDBC US Equity,0.9902509456035868,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090015558382177
2016-11-03,Swap - UCO US Equity,0.9639506354483082,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009025802087573
2016-11-03,Swap - SCO US Equity,1.0376601256521358,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009025802087573
2016-11-03,Swap - KOLD US Equity,1.0191154560286473,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009025802087573
2016-11-03,Swap - ZSL US Equity,1.013980302334394,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009025802087573
2016-11-03,Swap - GLL US Equity,0.9905422350629111,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009025802087573
2016-11-03,Swap - GLD US Equity,1.0053139206561206,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009025802087573
2016-11-03,Swap - GDX US Equity,1.0217867977977777,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009025802087573
2016-11-03,Swap - PDBC US Equity,0.9953486988124159,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.009025802087573
2016-11-04,Swap - UCO US Equity,0.9773264139510928,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090500946835257
2016-11-04,Swap - SCO US Equity,1.023212287606843,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090500946835257
2016-11-04,Swap - KOLD US Equity,0.9950979939396779,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090500946835257
2016-11-04,Swap - ZSL US Equity,0.9951955405361227,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090500946835257
2016-11-04,Swap - GLL US Equity,0.9977350828729233,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090500946835257
2016-11-04,Swap - GLD US Equity,1.0006999625574633,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090500946835257
2016-11-04,Swap - GDX US Equity,0.9908844953106145,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090500946835257
2016-11-04,Swap - PDBC US Equity,0.9930172596233242,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090500946835257
2016-11-07,Swap - UCO US Equity,1.0347374277545875,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090745021366676
2016-11-07,Swap - SCO US Equity,0.9631130254084735,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090745021366676
2016-11-07,Swap - KOLD US Equity,0.974486232517946,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090745021366676
2016-11-07,Swap - ZSL US Equity,1.0193172326255784,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090745021366676
2016-11-07,Swap - GLL US Equity,1.0361905452671698,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090745021366676
2016-11-07,Swap - GLD US Equity,0.9819683691675604,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090745021366676
2016-11-07,Swap - GDX US Equity,0.9604881520346614,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090745021366676
2016-11-07,Swap - PDBC US Equity,1.0056156522428805,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090745021366676
2016-11-08,Swap - UCO US Equity,0.9898977879861542,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090987882317715
2016-11-08,Swap - SCO US Equity,1.009297928312584,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090987882317715
2016-11-08,Swap - KOLD US Equity,1.1405661105734715,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090987882317715
2016-11-08,Swap - ZSL US Equity,0.9860378566744342,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090987882317715
2016-11-08,Swap - GLL US Equity,1.0081036158955676,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090987882317715
2016-11-08,Swap - GLD US Equity,0.9958008389382704,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090987882317715
2016-11-08,Swap - GDX US Equity,0.9949900626236678,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090987882317715
2016-11-08,Swap - PDBC US Equity,0.9984358542986361,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0090987882317715
2016-11-09,Swap - UCO US Equity,1.0384364280920306,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091231891895542
2016-11-09,Swap - SCO US Equity,0.9624889503866279,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091231891895542
2016-11-09,Swap - KOLD US Equity,0.9534499325559919,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091231891895542
2016-11-09,Swap - ZSL US Equity,0.9914290177668771,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091231891895542
2016-11-09,Swap - GLL US Equity,1.0023944658083273,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091231891895542
2016-11-09,Swap - GLD US Equity,0.9993181571518107,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0091231891895542
